prompt_num,pattern1_sec,pattern2_sec,pattern3_sec,pattern4_sec,prompt_text
prompt_1,62.76490487495903,74.42949037498329,88.15165895898826,59.79709833289962,"Collect 4 employment documents: 2 Brazilian (1 CLT employment contract, 1 TST labor appeal brief) an..."
prompt_1,71.75684783305041,69.96861108299345,40.338865665951744,84.32680966705084,814,777,651,142,"Collect 4 employment documents: 2 Brazilian (1 CLT employment contract, 1 TST labor appeal brief) an..."
prompt_2,121.69177941710223,132.21090879198164,178.5766435409896,105.17142062506173,899,932,700,844,"Collect 4 labor/employment docs: 2 from TST or TRT (any region) published 2022-2024, 2 from PACER (S..."
prompt_3,108.42850529192947,48.020427624927834,116.18696591595653,71.77048679196741,784,687,714,680,"Collect 4 commercial contracts: 2 Brazilian (1 prestação de serviços, 1 compra e venda) and 2 Americ..."
prompt_4,0.0,56.54523204197176,124.32830495899543,34.29668629099615,0,664,682,664,Collect 4 lease agreements: 2 Brazilian commercial leases (locação não-residencial) from São Paulo r...
prompt_5,142.3407860409934,31.50784241699148,87.48172587505542,93.68993208406027,656,833,312,659,"Collect 4 court briefs: 2 Brazilian petições iniciais from TJSP e-SAJ (cível), 2 American motions to..."
prompt_6,87.65860087506007,52.64867112506181,174.99968120793346,68.98074099991936,922,677,747,664,"Collect 4 civil litigation briefs: 2 Brazilian (1 contestação, 1 recurso de apelação) from any TJ, 2..."
prompt_7,61.36645774997305,73.29139491706155,73.84788183297496,201.01076979201753,863,664,832,484,"Collect 4 legal opinions: 2 Brazilian pareceres jurídicos (1 from PGE/PGR if available, 1 from law f..."
prompt_8,80.14851695904508,55.808641292038374,86.0745394580299,88.24404379201587,843,582,895,648,"Collect 4 corporate/tax opinions: 2 Brazilian (CVM or RFB consultas), 2 American (IRS PLRs or SEC st..."
prompt_9,69.78821733302902,67.32009733293671,58.64942120795604,44.15936370799318,799,700,689,626,"Collect 4 real estate documents: 2 Brazilian (1 escritura de compra e venda, 1 contrato de locação c..."
prompt_10,76.07702775008511,27.54143599991221,49.67850387492217,51.42935104202479,846,740,627,670,Collect 4 property documents: 2 Brazilian imóveis documents from TJSP jurisprudência (ações possessó...
prompt_11,166.4977694589179,113.27004341594875,140.15035199990962,101.78851750004105,934,701,886,148,"Collect 4 tax documents: 2 Brazilian (1 CARF acórdão, 1 mandado de segurança tributário from TRF) an..."
prompt_12,10.762676416081376,44.385482499958016,43.996400458039716,39.650523375021294,618,601,625,619,"Collect 4 tax compliance docs: 2 Brazilian (ICMS-related from SEFAZ consultation or CONFAZ), 2 Ameri..."
